iter	Passed	Remaining
0	159	159750
1	162	81063
2	164	54534
3	165	41264
4	167	33366
5	169	28136
6	171	24310
7	172	21435
8	174	19217
9	176	17460
10	178	16067
11	182	14990
12	183	13962
13	185	13094
14	187	12343
15	192	11840
16	196	11338
17	197	10800
18	200	10334
19	202	9931
20	205	9585
21	207	9243
22	209	8908
23	211	8614
24	213	8332
25	215	8088
26	217	7846
27	220	7650
28	222	7436
29	223	7242
30	226	7084
31	228	6922
32	230	6765
33	233	6641
34	235	6502
35	238	6387
36	240	6261
37	242	6142
38	245	6056
39	248	5960
40	250	5866
41	253	5775
42	255	5686
43	258	5619
44	261	5540
45	264	5475
46	266	5400
47	268	5329
48	271	5276
49	274	5223
50	277	5162
51	279	5099
52	282	5040
53	285	4995
54	287	4939
55	289	4886
56	296	4909
57	299	4860
58	301	4813
59	303	4761
60	305	4702
61	309	4678
62	312	4640
63	314	4598
64	316	4558
65	320	4536
66	322	4487
67	323	4439
68	325	4398
69	328	4364
70	330	4326
71	335	4323
72	338	4293
73	340	4258
74	342	4221
75	344	4187
76	349	4195
77	352	4164
78	357	4165
79	360	4144
80	364	4138
81	367	4111
82	369	4083
83	372	4058
84	379	4088
85	382	4062
86	384	4039
87	388	4027
88	393	4025
89	395	3997
90	397	3975
91	401	3962
92	405	3955
93	407	3930
94	410	3909
95	412	3888
96	416	3878
97	419	3856
98	422	3847
99	426	3841
100	430	3828
101	431	3800
102	435	3790
103	439	3782
104	442	3769
105	445	3758
106	449	3751
107	451	3727
108	455	3721
109	458	3708
110	461	3699
111	465	3687
112	469	3685
113	473	3682
114	477	3672
115	480	3660
116	482	3644
117	486	3632
118	488	3620
119	491	3605
120	494	3589
121	498	3586
122	501	3577
123	503	3558
124	506	3543
125	513	3561
126	515	3543
127	518	3531
128	522	3530
129	525	3517
130	528	3507
131	530	3490
132	533	3476
133	536	3470
134	539	3453
135	541	3437
136	543	3421
137	546	3413
138	550	3410
139	552	3395
140	555	3381
141	557	3369
142	559	3355
143	564	3353
144	567	3345
145	569	3332
146	572	3319
147	575	3311
148	578	3306
149	581	3294
150	584	3284
151	586	3273
152	588	3260
153	590	3246
154	593	3236
155	595	3222
156	598	3211
157	601	3203
158	603	3189
159	605	3177
160	607	3163
161	610	3156
162	612	3147
163	614	3134
164	616	3119
165	618	3105
166	619	3091
167	621	3078
168	624	3068
169	626	3057
170	627	3044
171	629	3030
172	631	3017
173	633	3007
174	636	2999
175	639	2992
176	640	2980
177	642	2968
178	645	2958
179	647	2949
180	649	2937
181	651	2927
182	653	2917
183	655	2907
184	657	2898
185	660	2888
186	662	2882
187	664	2871
188	666	2861
189	671	2862
190	674	2855
191	676	2845
192	678	2837
193	681	2831
194	684	2827
195	686	2818
196	689	2809
197	692	2804
198	695	2798
199	697	2789
200	699	2780
201	701	2771
202	708	2781
203	711	2776
204	713	2767
205	715	2758
206	719	2757
207	722	2751
208	724	2742
209	726	2733
210	728	2725
211	733	2726
212	735	2717
213	737	2708
214	739	2700
215	741	2691
216	744	2684
217	745	2675
218	747	2667
219	750	2659
220	751	2650
221	756	2652
222	758	2643
223	761	2636
224	763	2630
225	766	2623
226	771	2626
227	784	2657
228	787	2649
229	789	2644
230	792	2638
231	798	2643
232	801	2636
233	803	2630
234	806	2624
235	812	2628
236	814	2622
237	817	2616
238	820	2611
239	823	2607
240	825	2601
241	828	2594
242	832	2594
243	836	2590
244	838	2583
245	840	2576
246	846	2581
247	849	2575
248	851	2567
249	853	2560
250	858	2562
251	860	2555
252	863	2548
253	865	2541
254	867	2534
255	871	2534
256	873	2525
257	875	2517
258	877	2510
259	879	2504
260	882	2499
261	884	2491
262	886	2484
263	888	2478
264	891	2472
265	894	2468
266	896	2461
267	899	2455
268	903	2456
269	908	2455
270	910	2450
271	913	2445
272	918	2446
273	920	2439
274	924	2437
275	927	2433
276	930	2429
277	933	2423
278	936	2418
279	938	2413
280	942	2411
281	947	2411
282	951	2411
283	957	2414
284	961	2412
285	964	2408
286	969	2408
287	976	2413
288	979	2408
289	980	2401
290	986	2403
291	989	2398
292	991	2392
293	994	2387
294	996	2381
295	998	2375
296	1003	2376
297	1006	2370
298	1008	2364
299	1011	2359
300	1013	2354
301	1015	2347
302	1018	2342
303	1020	2337
304	1025	2335
305	1027	2329
306	1029	2323
307	1031	2317
308	1035	2316
309	1037	2309
310	1039	2303
311	1043	2302
312	1047	2299
313	1049	2293
314	1052	2287
315	1055	2284
316	1058	2280
317	1060	2274
318	1062	2268
319	1066	2265
320	1069	2261
321	1071	2255
322	1074	2252
323	1080	2253
324	1083	2249
325	1085	2243
326	1088	2239
327	1091	2236
328	1094	2233
329	1096	2227
330	1099	2221
331	1102	2217
332	1105	2213
333	1107	2207
334	1109	2201
335	1110	2195
336	1114	2192
337	1117	2188
338	1119	2182
339	1121	2177
340	1124	2172
341	1128	2171
342	1131	2167
343	1133	2161
344	1135	2155
345	1137	2150
346	1140	2145
347	1142	2140
348	1145	2136
349	1147	2130
350	1150	2126
351	1152	2121
352	1154	2116
353	1156	2111
354	1159	2106
355	1163	2105
356	1165	2099
357	1167	2093
358	1169	2088
359	1172	2083
360	1174	2079
361	1177	2075
362	1179	2069
363	1181	2063
364	1184	2060
365	1187	2056
366	1190	2052
367	1192	2047
368	1194	2042
369	1196	2038
370	1199	2034
371	1202	2029
372	1204	2025
373	1206	2020
374	1209	2015
375	1212	2011
376	1214	2007
377	1220	2008
378	1223	2004
379	1225	1999
380	1227	1994
381	1230	1990
382	1234	1988
383	1240	1989
384	1243	1986
385	1246	1982
386	1248	1978
387	1255	1979
388	1258	1976
389	1261	1972
390	1263	1968
391	1266	1964
392	1272	1965
393	1277	1964
394	1279	1959
395	1281	1954
396	1286	1954
397	1289	1949
398	1291	1945
399	1300	1950
400	1302	1945
401	1304	1940
402	1308	1938
403	1310	1933
404	1314	1931
405	1317	1927
406	1319	1923
407	1329	1928
408	1331	1923
409	1333	1918
410	1335	1913
411	1338	1910
412	1342	1907
413	1344	1903
414	1348	1900
415	1352	1899
416	1355	1894
417	1357	1890
418	1360	1886
419	1364	1884
420	1367	1881
421	1370	1877
422	1373	1873
423	1381	1876
424	1383	1871
425	1386	1867
426	1390	1866
427	1394	1863
428	1396	1858
429	1399	1854
430	1404	1854
431	1407	1850
432	1410	1847
433	1413	1843
434	1416	1839
435	1418	1835
436	1421	1831
437	1425	1829
438	1427	1824
439	1430	1820
440	1434	1818
441	1440	1818
442	1442	1813
443	1444	1808
444	1446	1804
445	1450	1801
446	1451	1796
447	1454	1791
448	1456	1787
449	1459	1783
450	1462	1780
451	1465	1776
452	1468	1773
453	1471	1769
